,Unnamed: 0,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Approx Gpu,Model_x,Benchmark_x,Model_y,Benchmark_y,Cpu percentile,Gpu percentile,Weight percentile,Ram percentile,Size percentile,Pixels,Pixel percentile,Price percentile
38,676,Toshiba,Tecra Z50-D-10E,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,1258.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.43981042654028435,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.6113744075829384
39,680,Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.3,1034.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.11895734597156399,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.4720379146919431
40,699,Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,Full HD 1920x1080,Core i5 7200U,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.7,699.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.2909952606635071,0.11137440758293839,0.25687203791469193,1920,0.5857819905213271,0.21753554502369668
41,711,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.1,621.45,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.5218009478672986,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.15924170616113742
42,713,Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.18,795.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.5606635071090047,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.2881516587677725
43,742,Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.44,960.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.1881516587677725,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.42132701421800944
44,772,Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.2,1129.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.04691943127962086,0.514218009478673,0.10236966824644549,3200,0.9895734597156398,0.5355450236966824
45,806,Dell,Latitude 3580,Notebook,15.6,1366x768,Core i5 7200U,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.95,810.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.40568720379146916,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.3052132701421801
46,810,Asus,Pro P2540UA-XS51,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.37,1099.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7464454976303316,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.5146919431279621
47,811,Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.29,1499.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.10758293838862559,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.7274881516587678
48,818,Lenovo,IdeaPad 310-15IKB,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD,Nvidia GeForce 920M,Windows 10,2.4,609.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7663507109004739,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.14928909952606634
